Transaction ID,Day,Month,Year,Day Name,Brand,Units Sold,Price Per Unit,City,Payment Method,Customer Ratings,Mobile Model
1,9,10,2021,Sat,Xiaomi,6,10174.7,Ludhiana,UPI,5,Redmi Note 10
2,9,10,2021,Saturday,Vivo,6,10565.19,Delhi,Credit Card,3,Vivo Y51
3,9,10,2021,Saturday,Vivo,8,58527.58,Mumbai,UPI,5,Vivo S1
4,10,10,2021,Sunday,Xiaomi,5,25563.98,Mumbai,Credit Card,4,Mi 11
5,10,10,2021,Sunday,OnePlus,3,48168.02,Gorakhpur,Cash,5,OnePlus 9
6,10,10,2021,Sunday,Samsung,3,37252.87,Jodhpur,UPI,3,Galaxy Note 20
7,10,10,2021,Sun,OnePlus,6,61805.8,Delhi,Cash,4,OnePlus Nord
8,11,10,2021,Monday,Apple,2,65017.67,Vadodara,Cash,3,iPhone 12
9,11,10,2021,Mon,Vivo,6,69808.46,Delhi,UPI,5,Vivo Y51
10,11,10,2021,Monday,Samsung,6,19221.05,Mumbai,Debit Card,2,Galaxy A51
11,12,10,2021,Tuesday,Samsung,8,61777.84,Madurai,Credit Card,5,Galaxy A51
12,12,10,2021,Tuesday,Apple,7,25961.28,Delhi,UPI,4,iPhone 12
13,12,10,2021,Tuesday,Apple,8,45448.95,Mumbai,Cash,5,iPhone 12
14,13,10,2021,Wed,Xiaomi,9,40346.37,Hyderabad,Credit Card,2,Redmi Note 10
15,13,10,2021,Wednesday,Vivo,6,11079.29,Chennai,Cash,5,Vivo V20
16,13,10,2021,Wednesday,Vivo,3,65966.28,Mumbai,Credit Card,2,Vivo Y51
17,14,10,2021,Thursday,OnePlus,3,14699.62,Coimbatore,UPI,4,OnePlus Nord
18,14,10,2021,Thu,Xiaomi,1,51293.14,Delhi,Cash,3,Redmi Note 10
19,14,10,2021,Thursday,Xiaomi,5,57100.41,Mumbai,Credit Card,4,Redmi Note 10
20,14,10,2021,Thursday,Xiaomi,4,57717.27,Mumbai,Credit Card,5,Redmi Note 10
21,15,10,2021,Friday,Xiaomi,9,18129.67,Coimbatore,UPI,4,Mi 11
22,15,10,2021,Friday,Vivo,9,36854.2,Vadodara,Credit Card,5,Vivo S1
23,15,10,2021,Fri,Vivo,5,59765.73,Kolkata,Credit Card,5,Vivo S1
24,16,10,2021,Saturday,Xiaomi,4,28160.75,Mumbai,Cash,5,Redmi Note 10
25,16,10,2021,Saturday,OnePlus,7,38064.92,Delhi,UPI,2,OnePlus Nord
